num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
80265	84255.190029	41.422416	-4.297748	1.510709	2.697101
80267	84257.282643	41.379214	-4.301463	1.509487	2.767036
80269	84259.370976	41.394928	-4.128051	1.498978	2.850124
80273	84263.555408	43.590699	-4.086198	1.514624	3.029425
80275	84265.650512	44.850101	-3.822028	1.503039	2.712220
80279	84269.832631	44.902998	-3.573458	1.506144	3.447830
80283	84274.012220	48.653679	-3.404154	1.506085	3.416461
80289	84280.280290	50.055599	-3.366114	1.519804	4.265867
80291	84282.370069	50.859967	-3.159192	1.518371	4.194324
80295	84286.550468	53.305080	-2.872720	1.508754	4.706357
80297	84288.640078	52.703845	-2.751660	1.535693	4.468925
80299	84290.730865	52.874856	-2.673053	1.508502	4.823104
80303	84294.912758	55.007896	-2.404129	1.507306	4.949585
80305	84297.003977	54.738588	-2.410512	1.520807	5.120038
80307	84299.095359	55.215208	-2.256907	1.535531	5.108513
80311	84303.278449	55.963164	-2.170405	1.522700	5.268535
80313	84305.370300	55.960031	-1.866645	1.510535	5.304975
80315	84307.463109	56.590763	-1.737026	1.510566	5.340973
80317	84309.554491	57.280281	-1.637833	1.510925	5.506119
80319	84311.645700	57.206299	-1.666660	1.521842	5.620570
80321	84313.736735	57.534415	-1.555827	1.521772	5.576984
80323	84315.827113	57.853467	-1.488176	1.522527	5.359956
80329	84322.097694	59.207877	-1.060373	1.509838	5.720176
80331	84324.187063	58.949329	-0.897429	1.512413	5.744208
80333	84326.276343	59.155699	-1.042081	1.522204	5.546530
80335	84328.365004	59.179421	-0.894796	1.537907	5.675382
80337	84330.454318	59.401824	-0.992916	1.531574	6.222653
80339	84332.542898	59.605906	-0.944602	1.518552	6.029679
80343	84336.721294	59.407127	-0.752560	1.530908	6.066889
80345	84338.810857	59.877968	-0.713022	1.527611	6.144414
80349	84342.991000	60.681340	-0.415887	1.507792	5.921051
80351	84345.081532	60.347530	-0.506004	1.516694	6.064610
80353	84347.171800	60.882793	-0.276074	1.508792	6.006722
80357	84351.353551	60.470740	-0.503155	1.527046	6.045140
80359	84353.444848	60.246927	-0.464390	1.528559	6.002745
80361	84355.536748	60.685638	-0.431475	1.518818	6.398535
80363	84357.627793	61.003267	-0.165218	1.529853	6.247456
80365	84359.718859	62.271166	-0.015954	1.507760	5.999965
80367	84361.810180	60.944210	-0.193344	1.517552	6.071478
80369	84363.901267	60.972399	-0.030883	1.534395	6.253549
80375	84370.171946	60.051915	0.068491	1.502197	6.166217
80381	84376.439896	61.973439	0.161926	1.507539	6.216471
80383	84378.528887	61.607457	0.028597	1.516781	6.297827
80387	84382.705686	61.632408	-0.029368	1.523459	6.253326
80389	84384.794801	61.714408	-0.100547	1.522591	6.354523
80391	84386.884290	61.569965	-0.008631	1.513381	6.375946
80395	84391.063418	61.650546	0.036395	1.512841	6.395373
80403	84399.424583	61.563305	0.058624	1.512450	6.517207
80407	84403.605980	60.470836	0.347703	1.508730	6.346514
