time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
84490.135514	196.857758	0.035939	5.477610	103
84491.153398	207.251526	0.035939	5.766809	104
84492.202457	221.227722	0.035935	6.156256	105
84493.262572	201.364761	0.035937	5.603240	106
84494.300542	222.337845	0.035938	6.186648	107
84495.353035	209.568069	0.035938	5.831377	108
84496.385479	223.982422	0.035935	6.233013	109
84497.436596	221.658417	0.035936	6.168174	110
84498.475988	224.790680	0.035934	6.255691	111
84499.530576	222.580887	0.035935	6.193966	112
84500.579737	218.221436	0.035937	6.072384	113
84501.548235	215.639023	0.035936	6.000604	114
84502.661732	228.310638	0.035939	6.352771	115
84503.721691	213.155258	0.035939	5.930957	116
84504.782521	201.144318	0.035935	5.597433	117
84505.797099	237.324448	0.035940	6.603285	118
84506.690797	19.924801	0.035941	0.554368	119
84507.890055	236.320160	0.035942	6.575039	120
84508.946063	219.367386	0.035936	6.104450	121
84509.982296	236.057129	0.035941	6.567990	122
84511.028825	229.609589	0.035940	6.388676	123
84512.072227	236.336655	0.035938	6.576251	124
84513.121007	229.908676	0.035935	6.397914	125
84514.161867	239.255692	0.035936	6.657908	126
84515.190947	255.054535	0.035941	7.096390	127
84516.242889	253.566559	0.035936	7.056114	128
84517.293167	243.421143	0.035938	6.773272	129
84518.361195	207.124969	0.035936	5.763778	130
84519.391071	235.511215	0.035938	6.553340	131
84520.435747	235.550354	0.035940	6.554016	132
84521.484979	232.552414	0.035936	6.471240	133
84522.451245	254.646088	0.035941	7.085032	134
84523.569652	244.613846	0.035939	6.806370	135
84524.609845	248.566605	0.035936	6.916956	136
84525.659098	241.982010	0.035935	6.733909	137
84526.708664	236.217300	0.035938	6.572919	138
84527.748665	243.764877	0.035937	6.783115	139
84528.799876	237.151520	0.035935	6.599537	140
84529.867078	181.394913	0.035937	5.047564	141
84530.897751	225.924133	0.035940	6.286220	142
84531.929915	234.482193	0.035934	6.525384	143
84532.990866	217.312317	0.035938	6.046811	144
84534.010418	253.921295	0.035939	7.065436	145
